expediente,pueblo,scall_col,territorial,fecha_instalacion,alcaldia,instalado,latitud,longitud
1251-ISOLPE-VEA-24,SIMON BOLIVAR,SIMON BOLIVAR,NO APLICA,16/04/2024,VENUSTIANO CARRANZA,Programa SCALL,19.449166,-99.09447
1251-RAFLCR-TLN-24,SAN MIGUEL TOPILEJO (PBO),SAN MIGUEL TOPILEJO (PBO),NO APLICA,13/06/2024,TLALPAN,Programa SCALL,19.20271,-99.1435
1251-SUVAMA-XOO-24,CERRILLOS SEGUNDA SECCI?ÙN,CERRILLOS SEGUNDA SECCI?ÙN,NO APLICA,19/04/2024,XOCHIMILCO,Programa SCALL,19.2448,-99.0156
1252-LOHEDU-TLN-24,SAN MIGUEL TOPILEJO (PBO),SAN MIGUEL TOPILEJO (PBO),NO APLICA,12/06/2024,TLALPAN,Programa SCALL,19.203,-99.1439
1252-MANAAR-TLC-24,SAN JOSE,SAN JOSE,NO APLICA,14/06/2024,TLAHUAC,Programa SCALL,19.278914,-98.999343
1252-MEROSA-XOO-24,LAS MESITAS,LAS MESITAS,NO APLICA,19/04/2024,XOCHIMILCO,Programa SCALL,19.2439,-99.016
1253-LEPAEN-IZA-24,VICENTE GUERRERO SUPER MANZANA (U HAB),VICENTE GUERRERO SUPER MANZANA (U HAB),NO APLICA,30/05/2024,IZTAPALAPA,Programa SCALL,19.353329,-99.057244
1253-ORORJO-TLC-24,AMPL SELENE,AMPL SELENE,NO APLICA,14/05/2024,TLAHUAC,Programa SCALL,19.285932,-98.993716
1253-SABRCA-XOO-24,CERRILLOS SEGUNDA SECCI?ÙN,CERRILLOS SEGUNDA SECCI?ÙN,NO APLICA,19/04/2024,XOCHIMILCO,Programa SCALL,19.24484,-99.0157
1253-ZAMAAN-IZO-24,AGRICOLA PANTITLAN (SECCIONES 1 A 5),AGRICOLA PANTITLAN (SECCIONES 1 A 5),NO APLICA,09/04/2024,IZTACALCO,Programa SCALL,19.418952,-99.061963
1254-GAIBAZ-XOO-24,LOMAS DE NATIVITAS,LOMAS DE NATIVITAS,NO APLICA,17/06/2024,XOCHIMILCO,Programa SCALL,19.24057,-99.0879
1254-RAROGA-IZO-24,LOS REYES (BARR),LOS REYES (BARR),NO APLICA,05/04/2024,IZTACALCO,Programa SCALL,19.394693,-99.114441
1255-ALSAJO-TLN-24,SAN MIGUEL TOPILEJO (PBO),SAN MIGUEL TOPILEJO (PBO),NO APLICA,27/07/2024,TLALPAN,Programa SCALL,19.1923,-99.1432
1255-CAFLES-IZA-24,SANTA MARTHA ACATITLA,SANTA MARTHA ACATITLA,NO APLICA,19/04/2024,IZTAPALAPA,Programa SCALL,19.372887,-99.026533
1255-HEALHI-XOO-24,LAS MESITAS,LAS MESITAS,NO APLICA,12/04/2024,XOCHIMILCO,Programa SCALL,19.24364,-99.0156
1255-HEHEBL-IZO-24,AGRICOLA ORIENTAL (SECCIONES 1 A 8),AGRICOLA ORIENTAL (SECCIONES 1 A 8),NO APLICA,01/06/2024,IZTACALCO,Programa SCALL,19.393345,-99.082138
1255-ORTIJO-TLC-24,AMPL SELENE,AMPL SELENE,NO APLICA,14/05/2024,TLAHUAC,Programa SCALL,19.285932,-98.993716
1256-COHEPA-IZO-24,AGRICOLA PANTITLAN (SECCIONES 1 A 5),AGRICOLA PANTITLAN (SECCIONES 1 A 5),NO APLICA,06/04/2024,IZTACALCO,Programa SCALL,19.41786,-99.058182
1256-MACAAU-TLC-24,LA HABANA,LA HABANA,NO APLICA,26/07/2024,TLAHUAC,Programa SCALL,19.269707,-98.995644
