fecha_toma_muestra,pruebas_totales,positivos_totales,pruebas_totales_cdmx,positivos_totales_cdmx,tasa_positividad,tasa_positividad_cdmx
2021-09-11,3892,658,3390,590,0.16906474820143885,0.17404129793510326
2021-09-12,3138,533,2705,457,0.1698534098151689,0.1689463955637708
2021-09-13,12832,2331,11305,2106,0.1816552369077307,0.1862892525431225
2021-09-14,11773,1943,10268,1671,0.1650386477533339,0.16273860537592522
2021-09-15,7936,1146,6960,1003,0.14440524193548387,0.14410919540229886
2021-09-16,1720,290,1441,245,0.1686046511627907,0.17002081887578072
2021-09-17,11945,1892,10543,1691,0.1583926329007953,0.16039078061272882
2021-09-18,3714,591,3288,506,0.1591276252019386,0.15389294403892945
2021-09-19,3299,364,2826,325,0.11033646559563504,0.11500353857041756
2021-09-20,12489,2021,10949,1785,0.16182240371526943,0.1630285870855786
2021-09-21,11139,1731,9700,1543,0.15539994613520064,0.1590721649484536
2021-09-22,12079,1869,10632,1633,0.15473135193310705,0.15359292701279156
2021-09-23,11112,1427,9640,1258,0.12841972642188626,0.13049792531120333
2021-09-24,11337,1399,9911,1268,0.12340125253594424,0.127938654020785
2021-09-25,4694,509,4007,438,0.10843630166169578,0.10930870975792364
2021-09-26,3602,358,2992,288,0.09938922820655192,0.0962566844919786
2021-09-27,12187,1713,10412,1445,0.14055961270205958,0.13878217441413754
2021-09-28,10514,1373,9056,1137,0.1305877877116226,0.12555212014134276
2021-09-29,10471,1245,9105,1083,0.11889981854646166,0.11894563426688631
2021-09-30,7949,958,6916,820,0.1205183041892062,0.11856564488143435
2021-10-01,8329,954,7184,817,0.11453956057149718,0.1137249443207127
2021-10-02,3431,365,2930,284,0.10638297872340426,0.0969283276450512
2021-10-03,2959,383,2402,265,0.12943562014193985,0.1103247293921732
2021-10-04,9968,1133,8563,932,0.1136637239165329,0.10884035968702556
2021-10-05,9741,1044,8407,893,0.10717585463504774,0.10622100630427024
2021-10-06,9375,1067,8124,880,0.11381333333333334,0.10832102412604629
2021-10-07,9312,865,8231,736,0.09289089347079038,0.08941805369942898
2021-10-08,9720,867,8448,781,0.08919753086419753,0.09244791666666669
2021-10-09,3039,261,2622,226,0.08588351431391905,0.08619374523264683
2021-10-10,3242,221,2678,199,0.06816779765576804,0.0743091859596714
2021-10-11,10827,1137,9476,981,0.10501523967858133,0.10352469396369776
2021-10-12,10257,816,8823,721,0.07955542556303012,0.08171823642751898
2021-10-13,10882,666,9207,579,0.06120198492924095,0.0628869338546758
2021-10-14,9906,752,8405,655,0.07591358772461135,0.07792980368828079
2021-10-15,10785,606,9230,544,0.05618915159944367,0.05893824485373781
2021-10-16,3585,196,2992,161,0.05467224546722454,0.05381016042780749
2021-10-17,2477,170,2119,140,0.06863140896245458,0.06606890042472864
2021-10-18,9765,635,8452,555,0.06502816180235535,0.06566493137718883
2021-10-19,8524,555,7393,502,0.06511027686532145,0.06790206952522657
2021-10-20,9085,569,7944,501,0.06263070996147496,0.06306646525679759
2021-10-21,8314,529,7266,471,0.06362761606928073,0.064822460776218
2021-10-22,8786,425,7848,384,0.04837241065331209,0.04892966360856269
2021-10-23,4422,152,3898,129,0.03437358661239258,0.03309389430477168
2021-10-24,2705,105,2218,92,0.0388170055452865,0.04147880973850315
2021-10-25,10060,555,8864,496,0.055168986083499,0.05595667870036101
2021-10-26,7715,452,6678,392,0.05858716785482826,0.05870020964360587
2021-10-27,7841,459,6763,397,0.05853845172809591,0.05870175957415348
2021-10-28,7147,384,6185,340,0.05372883727438086,0.0549717057396928
2021-10-29,6454,364,5604,322,0.05639913232104121,0.05745895788722341
2021-10-30,2821,112,2398,92,0.03970223325062035,0.03836530442035029
2021-10-31,1867,85,1538,74,0.04552758435993572,0.04811443433029909
2021-11-01,6122,351,5300,317,0.05733420450833061,0.05981132075471698
2021-11-02,3586,200,3013,171,0.05577244841048522,0.05675406571523399
2021-11-03,8441,337,7171,296,0.03992417959957351,0.04127736717333705
2021-11-04,7825,346,6728,297,0.04421725239616613,0.04414387633769322
2021-11-05,7807,461,6861,419,0.05904957089791213,0.06106981489578778
2021-11-06,2320,127,2010,106,0.05474137931034482,0.0527363184079602
2021-11-07,1970,90,1700,82,0.04568527918781726,0.04823529411764706
2021-11-08,8725,385,7715,355,0.04412607449856733,0.04601425793907971
2021-11-09,8666,298,7742,276,0.0343872605585045,0.03564970291914234
2021-11-10,7339,364,6446,334,0.04959803787982014,0.05181507911883339
2021-11-11,6933,345,6074,306,0.049762007788836,0.05037866315442871
2021-11-12,8783,331,8017,306,0.03768643971308209,0.0381688911063989
2021-11-13,1985,77,1792,70,0.03879093198992443,0.0390625
2021-11-14,1312,68,1128,60,0.05182926829268292,0.05319148936170213
2021-11-15,1608,80,1392,67,0.04975124378109453,0.04813218390804597
2021-11-16,6954,419,6099,397,0.06025309174575784,0.06509263813739957
2021-11-17,6803,404,6024,369,0.05938556519182713,0.06125498007968127
2021-11-18,6705,356,5870,324,0.05309470544369873,0.05519591141396934
2021-11-19,6316,282,5544,259,0.04464851171627612,0.04671717171717172
2021-11-20,1495,81,1317,75,0.05418060200668896,0.05694760820045558
2021-11-21,1745,82,1482,60,0.04699140401146132,0.04048582995951417
2021-11-22,7005,337,6112,304,0.04810849393290507,0.04973821989528795
2021-11-23,9143,331,8325,290,0.03620255933501039,0.03483483483483483
2021-11-24,8959,337,8126,299,0.0376158053354169,0.03679547132660595
2021-11-25,8266,312,7521,286,0.03774497943382531,0.03802685813056774
2021-11-26,6630,304,5758,266,0.04585218702865761,0.04619659604029177
2021-11-27,2244,98,2020,92,0.04367201426024955,0.04554455445544554
2021-11-28,1705,64,1468,56,0.0375366568914956,0.03814713896457766
2021-11-29,6053,300,5271,270,0.04956220056170494,0.05122367672168469
2021-11-30,5614,250,4951,222,0.04453152832205201,0.04483942637850939
2021-12-01,5663,306,5015,281,0.05403496380010595,0.05603190428713858
2021-12-02,8300,279,7515,245,0.0336144578313253,0.03260146373918829
2021-12-03,5362,267,4808,255,0.04979485266691533,0.05303660565723794
2021-12-04,1830,75,1559,62,0.04098360655737704,0.03976908274534958
2021-12-05,1676,94,1456,87,0.05608591885441527,0.05975274725274725
2021-12-06,5678,323,4960,294,0.05688622754491018,0.05927419354838709
2021-12-07,6314,244,5552,227,0.03864428254672157,0.04088616714697406
2021-12-08,8243,250,7614,230,0.03032876379958753,0.03020751247701602
2021-12-09,8097,295,7546,270,0.03643324688156107,0.03578054598462762
