attribute,average
temp,28.08333333333333
temp_alta,28.5
temp_baja,27.58333333333333
hum,21.58333333333333
alta_hum,23.166666666666668
hum_baja,21.0
punto_de_roco,4.25
mxima_del_punto_de_roco,4.833333333333333
mnima_del_punto_de_roco,3.6666666666666665
bulbo_hmedo,9.416666666666666
mxima_temperatura_de_bulbo_hmedo,9.833333333333334
mnima_de_la_temperatura_de_bulbo_hmedo,8.833333333333334
ndice_de_calor,26.916666666666668
mxima_del_indice_de_calor,26.916666666666668
time,
aqi,104.25
aqi_alto,119.33333333333331
pm_1,26.416666666666668
alto_pm_1,31.33333333333333
pm_25,36.91666666666666
alto_pm_25,44.41666666666666
pm_10,44.41666666666666
alto_pm_10,55.5
temp,34.083333333333336
temp_alta,34.5
temp_baja,33.916666666666664
hum,16.166666666666668
alta_hum,17.416666666666668
hum_baja,15.833333333333334
punto_de_roco,5.166666666666667
mxima_del_punto_de_roco,6.0
mnima_del_punto_de_roco,4.583333333333333
bulbo_hmedo,10.333333333333334
mxima_temperatura_de_bulbo_hmedo,10.916666666666666
mnima_de_la_temperatura_de_bulbo_hmedo,9.833333333333334
ndice_de_calor,32.166666666666664
mxima_del_indice_de_calor,32.166666666666664
time,
aqi,114.75
aqi_alto,128.16666666666666
pm_1,29.08333333333333
alto_pm_1,32.083333333333336
pm_25,41.083333333333336
alto_pm_25,46.5
pm_10,50.0
alto_pm_10,58.5
temp,36.0
temp_alta,36.0
temp_baja,35.833333333333336
hum,14.083333333333334
alta_hum,15.25
hum_baja,13.666666666666666
punto_de_roco,4.333333333333333
mxima_del_punto_de_roco,5.416666666666667
mnima_del_punto_de_roco,3.75
bulbo_hmedo,9.666666666666666
mxima_temperatura_de_bulbo_hmedo,10.5
mnima_de_la_temperatura_de_bulbo_hmedo,9.0
ndice_de_calor,33.75
mxima_del_indice_de_calor,34.0
time,
aqi,91.91666666666669
aqi_alto,102.16666666666669
pm_1,23.166666666666668
alto_pm_1,26.166666666666668
pm_25,31.5
alto_pm_25,36.083333333333336
pm_10,36.083333333333336
alto_pm_10,45.083333333333336
temp,37.833333333333336
temp_alta,38.16666666666666
temp_baja,37.5
hum,12.75
alta_hum,13.916666666666666
hum_baja,12.166666666666666
punto_de_roco,4.416666666666667
mxima_del_punto_de_roco,5.75
mnima_del_punto_de_roco,3.6666666666666665
bulbo_hmedo,9.666666666666666
mxima_temperatura_de_bulbo_hmedo,11.0
