aqi,aqi_alto,pm_1,alto_pm_1,pm_2.5,alto_pm_2.5,pm_10,alto_pm_10,temp,temp. alta,temp._baja,hum,alta_hum,hum_baja,punto_de_rocío,máxima_del_punto_de_rocío,mínima_del_punto_de_rocío,bulbo_húmedo,máxima_temperatura_de_bulbo_húmedo,mínima_de_la_temperatura_de_bulbo_húmedo,índice_de_calor,máxima_del_indice_de_calor,date,time
71.08333333333333,83.58333333333333,15.916666666666666,18.666666666666668,21.666666666666668,27.58333333333333,24.75,35.166666666666664,16.916666666666668,16.916666666666668,16.833333333333332,31.916666666666668,32.833333333333336,31.5,-0.0833333333333333,0.1666666666666666,-0.3333333333333333,5.75,6.0,5.5,15.0,15.0,2024-02-28,00:00
66.91666666666667,79.5,14.416666666666666,17.916666666666668,19.58333333333333,25.75,21.75,31.5,16.083333333333332,16.083333333333332,16.0,31.666666666666668,32.333333333333336,31.0,-0.9166666666666666,-0.6666666666666666,-1.0833333333333333,5.0,5.166666666666667,5.0,14.083333333333334,14.166666666666666,2024-02-28,01:00
72.75,87.41666666666667,16.166666666666668,19.5,22.416666666666668,29.33333333333333,25.08333333333333,35.666666666666664,15.166666666666666,15.333333333333334,15.166666666666666,36.083333333333336,36.16666666666666,35.333333333333336,0.25,0.25,0.0833333333333333,5.5,5.666666666666667,5.25,13.583333333333334,13.666666666666666,2024-02-28,02:00
78.33333333333333,90.75,17.916666666666668,21.0,25.0,30.916666666666668,28.166666666666668,39.16666666666666,12.916666666666666,13.0,12.833333333333334,43.66666666666666,43.833333333333336,43.083333333333336,0.9166666666666666,1.0,0.6666666666666666,5.166666666666667,5.5,5.0,11.583333333333334,11.666666666666666,2024-02-28,03:00
81.33333333333333,92.83333333333331,18.5,21.25,26.5,31.916666666666668,29.83333333333333,41.66666666666666,11.583333333333334,11.583333333333334,11.5,48.66666666666666,48.833333333333336,48.083333333333336,1.0,1.0,1.0,5.0,5.166666666666667,5.0,10.666666666666666,10.75,2024-02-28,04:00
83.33333333333333,95.5,19.08333333333333,21.916666666666668,27.5,33.25,31.25,43.25,10.583333333333334,10.666666666666666,10.5,52.41666666666666,52.75,51.833333333333336,1.0,1.0833333333333333,1.0,5.0,5.0,5.0,10.0,10.0,2024-02-28,05:00
90.25,105.75,20.916666666666668,25.08333333333333,30.83333333333333,38.083333333333336,36.5,49.583333333333336,10.0,10.0,10.0,54.41666666666666,54.75,53.833333333333336,1.1666666666666667,1.3333333333333333,1.0,5.0,5.0,5.0,9.25,9.416666666666666,2024-02-28,06:00
112.58333333333331,147.41666666666666,30.08333333333333,47.583333333333336,45.5,75.33333333333333,56.41666666666666,94.5,10.25,10.25,10.166666666666666,55.5,56.5,55.0,1.6666666666666667,1.8333333333333333,1.5,5.416666666666667,5.416666666666667,5.333333333333333,9.583333333333334,9.583333333333334,2024-02-28,07:00
120.83333333333331,163.33333333333334,35.583333333333336,61.25,53.833333333333336,95.25,64.25,112.66666666666669,14.916666666666666,15.416666666666666,14.5,43.583333333333336,46.16666666666666,42.91666666666666,2.833333333333333,3.1666666666666665,2.4166666666666665,7.25,7.333333333333333,6.916666666666667,14.333333333333334,14.333333333333334,2024-02-28,08:00
110.91666666666669,122.16666666666669,27.166666666666668,30.25,39.583333333333336,44.083333333333336,49.0,57.083333333333336,28.08333333333333,28.5,27.58333333333333,21.58333333333333,23.166666666666668,21.0,4.25,4.833333333333333,3.6666666666666665,9.416666666666666,9.833333333333334,8.833333333333334,26.916666666666668,26.916666666666668,2024-02-28,09:00
104.25,119.33333333333331,26.416666666666668,31.33333333333333,36.91666666666666,44.41666666666666,44.41666666666666,55.5,34.083333333333336,34.5,33.916666666666664,16.166666666666668,17.416666666666668,15.833333333333334,5.166666666666667,6.0,4.583333333333333,10.333333333333334,10.916666666666666,9.833333333333334,32.166666666666664,32.166666666666664,2024-02-28,10:00
114.75,128.16666666666666,29.08333333333333,32.083333333333336,41.083333333333336,46.5,50.0,58.5,36.0,36.0,35.833333333333336,14.083333333333334,15.25,13.666666666666666,4.333333333333333,5.416666666666667,3.75,9.666666666666666,10.5,9.0,33.75,34.0,2024-02-28,11:00
91.91666666666669,102.16666666666669,23.166666666666668,26.166666666666668,31.5,36.083333333333336,36.083333333333336,45.083333333333336,37.833333333333336,38.16666666666666,37.5,12.75,13.916666666666666,12.166666666666666,4.416666666666667,5.75,3.6666666666666665,9.666666666666666,11.0,9.0,35.333333333333336,35.666666666666664,2024-02-28,12:00
102.0,126.5,26.0,36.5,35.833333333333336,50.75,42.583333333333336,60.833333333333336,37.083333333333336,37.333333333333336,36.91666666666666,12.166666666666666,13.583333333333334,11.75,3.333333333333333,4.833333333333333,2.5,8.583333333333334,10.0,8.166666666666666,34.666666666666664,34.916666666666664,2024-02-28,13:00
81.75,95.0,20.25,23.5,26.58333333333333,32.75,29.33333333333333,40.833333333333336,37.91666666666666,38.16666666666666,37.75,10.25,11.916666666666666,9.833333333333334,1.4166666666666667,3.5,0.6666666666666666,7.166666666666667,8.583333333333334,6.5,35.083333333333336,35.333333333333336,2024-02-28,14:00
75.75,93.08333333333331,18.666666666666668,23.58333333333333,23.916666666666668,32.166666666666664,25.916666666666668,38.0,35.166666666666664,35.416666666666664,35.0,10.833333333333334,11.25,9.916666666666666,-0.4166666666666667,0.5833333333333334,-1.1666666666666667,5.666666666666667,6.416666666666667,5.0,32.416666666666664,32.916666666666664,2024-02-28,15:00
