year_day,aqi,aqi_alto,pm_1,alto_pm_1,pm_2.5,alto_pm_2.5,pm_10,alto_pm_10,temp,temp. alta,temp._baja,hum,alta_hum,hum_baja,punto_de_rocío,máxima_del_punto_de_rocío,mínima_del_punto_de_rocío,bulbo_húmedo,máxima_temperatura_de_bulbo_húmedo,mínima_de_la_temperatura_de_bulbo_húmedo,índice_de_calor,máxima_del_indice_de_calor
2024-02-28,81.91319444444444,105.77777777777777,20.083333333333332,30.17013888888889,28.010416666666668,44.60069444444444,32.40625,53.78472222222222,23.13888888888889,23.28125,22.98611111111111,26.82638888888889,27.57638888888889,26.26736111111111,0.6006944444444444,1.1388888888888888,0.20833333333333334,6.104166666666667,6.53125,5.798611111111111,21.319444444444443,21.475694444444443
2024-02-29,94.10763888888889,121.84722222222223,23.3125,36.37847222222222,33.541666666666664,55.18055555555556,38.989583333333336,65.04166666666667,21.73611111111111,21.87847222222222,21.583333333333332,37.420138888888886,38.06944444444444,36.74652777777778,3.8055555555555554,4.197916666666667,3.4583333333333335,8.215277777777779,8.51736111111111,7.951388888888889,20.395833333333332,20.52777777777778
2024-03-01,96.15508021390374,108.8288770053476,23.342245989304814,26.6951871657754,33.17112299465241,38.86096256684492,38.93048128342246,49.44385026737968,21.149732620320854,21.288770053475936,20.994652406417114,38.213903743315505,39.00534759358289,37.79679144385027,3.9251336898395723,4.347593582887701,3.657754010695187,8.29946524064171,8.668449197860962,8.016042780748663,19.79144385026738,19.90909090909091
2024-03-04,48.88405797101449,80.95652173913044,9.840579710144928,21.463768115942027,12.971014492753623,30.652173913043477,14.115942028985508,34.927536231884055,20.0,20.10144927536232,19.91304347826087,26.347826086956523,26.695652173913043,25.565217391304348,-0.6956521739130435,-0.463768115942029,-0.9420289855072463,5.420289855072464,5.594202898550725,5.188405797101449,17.956521739130434,18.130434782608695
2024-03-05,99.92708333333333,127.53125,25.489583333333332,38.12847222222222,37.25347222222222,57.375,43.96527777777778,68.87847222222223,22.15972222222222,22.322916666666668,21.993055555555557,28.65972222222222,29.444444444444443,28.052083333333332,0.6388888888888888,1.1736111111111112,0.17708333333333334,5.979166666666667,6.399305555555555,5.663194444444445,20.479166666666668,20.645833333333332
2024-03-06,97.11458333333333,127.95833333333333,23.43402777777778,37.99305555555556,33.75694444444444,52.864583333333336,40.59722222222222,63.729166666666664,22.020833333333332,22.18402777777778,21.875,31.45138888888889,32.05555555555556,30.993055555555557,2.3819444444444446,2.767361111111111,2.0972222222222223,7.34375,7.666666666666667,7.114583333333333,20.506944444444443,20.65625
2024-03-07,71.64930555555556,107.91666666666667,16.697916666666668,31.79513888888889,23.354166666666668,44.93055555555556,26.274305555555557,52.31597222222222,22.6875,22.822916666666668,22.524305555555557,30.645833333333332,31.37847222222222,30.14236111111111,1.1909722222222223,1.7048611111111112,0.8159722222222222,6.392361111111111,6.819444444444445,6.145833333333333,20.98263888888889,21.166666666666668
2024-03-08,74.69148936170212,100.52127659574468,16.75886524822695,25.45035460992908,23.847517730496453,35.07446808510638,28.03191489361702,43.187943262411345,23.23049645390071,23.418439716312058,23.081560283687942,22.95744680851064,23.71631205673759,22.343971631205672,-3.7588652482269502,-2.847517730496454,-4.457446808510638,2.5709219858156027,3.2411347517730498,2.0106382978723403,20.99645390070922,21.166666666666668
2024-03-09,100.89236111111111,112.09027777777777,24.69097222222222,27.819444444444443,35.21180555555556,40.36805555555556,42.30555555555556,51.12847222222222,23.791666666666668,23.961805555555557,23.600694444444443,26.22222222222222,26.927083333333332,25.555555555555557,-1.5173611111111112,-0.65625,-2.1805555555555554,4.21875,4.847222222222222,3.732638888888889,21.739583333333332,21.899305555555557
2024-03-10,90.80555555555556,103.02430555555556,20.802083333333332,23.805555555555557,30.694444444444443,35.94444444444444,37.645833333333336,45.12847222222222,21.5,21.635416666666668,21.34722222222222,42.520833333333336,43.18402777777778,41.951388888888886,5.010416666666667,5.388888888888889,4.75,9.024305555555555,9.3125,8.815972222222221,20.319444444444443,20.458333333333332
2024-03-11,86.65972222222223,108.32291666666667,20.82638888888889,29.3125,28.74652777777778,42.125,32.923611111111114,50.71527777777778,22.038194444444443,22.1875,21.87847222222222,38.385416666666664,38.979166666666664,37.885416666666664,5.034722222222222,5.347222222222222,4.774305555555555,9.215277777777779,9.510416666666666,8.993055555555555,20.725694444444443,20.868055555555557
2024-03-12,82.95137976346912,93.6622864651774,19.771353482260185,23.080157687253614,27.176084099868593,32.82128777923784,30.68593955321945,38.913272010512486,24.030223390275953,24.107752956636006,23.959264126149804,27.00131406044678,27.36268068331143,26.706964520367936,1.8370565045992115,2.0670170827858083,1.6544021024967148,7.252299605781866,7.437582128777923,7.105124835742444,22.26412614980289,22.32588699080158
2024-03-13,90.55,99.48125,21.714583333333334,24.465972222222224,30.8,35.25972222222222,35.797222222222224,43.25833333333333,22.43611111111111,22.48125,22.39236111111111,27.227777777777778,27.552777777777777,26.947222222222223,0.7770833333333333,1.0090277777777779,0.5826388888888889,6.315972222222222,6.509027777777778,6.149305555555555,20.76597222222222,20.823611111111113
2024-03-14,104.07116564417178,111.60245398773006,24.822085889570552,26.74723926380368,36.42453987730061,39.58036809815951,44.52269938650307,50.08098159509203,19.85521472392638,19.88957055214724,19.811042944785274,38.08098159509203,38.466257668711656,37.79877300613497,2.761963190184049,3.0245398773006134,2.5460122699386503,7.333742331288343,7.564417177914111,7.168098159509203,18.460122699386503,18.5079754601227
